[2026-01-17T04:54:36.932Z] attempted=484 connected=482 active=482 closed=0 aborted=0 errors=0 chunks=482
[2026-01-17T04:55:06.932Z] attempted=968 connected=967 active=966 closed=1 aborted=0 errors=1 chunks=1455
[2026-01-17T04:55:36.932Z] attempted=1452 connected=1452 active=1450 closed=2 aborted=0 errors=2 chunks=2914
[2026-01-17T04:56:06.933Z] attempted=1937 connected=1936 active=1934 closed=2 aborted=0 errors=2 chunks=4853
[2026-01-17T04:56:36.934Z] attempted=2419 connected=2418 active=2416 closed=2 aborted=0 errors=2 chunks=7275
[2026-01-17T04:57:06.933Z] attempted=2900 connected=2899 active=2897 closed=2 aborted=0 errors=2 chunks=10178
[2026-01-17T04:57:36.933Z] attempted=3381 connected=3380 active=3377 closed=3 aborted=0 errors=3 chunks=13564
[2026-01-17T04:58:06.933Z] attempted=3862 connected=3861 active=3858 closed=3 aborted=0 errors=3 chunks=17430
[2026-01-17T04:58:36.933Z] attempted=4342 connected=4341 active=4338 closed=3 aborted=0 errors=3 chunks=21776
[2026-01-17T04:59:06.933Z] attempted=4829 connected=4488 active=4145 closed=343 aborted=0 errors=343 chunks=26266
Ramp complete. Holding 5000 connections for 600s...
[2026-01-17T04:59:36.934Z] attempted=5000 connected=4493 active=3982 closed=511 aborted=0 errors=511 chunks=30756
[2026-01-17T05:00:06.934Z] attempted=5000 connected=4493 active=3982 closed=511 aborted=0 errors=511 chunks=35245
[2026-01-17T05:00:36.935Z] attempted=5000 connected=4493 active=3982 closed=511 aborted=0 errors=511 chunks=39734
[2026-01-17T05:01:06.934Z] attempted=5000 connected=4493 active=3982 closed=511 aborted=0 errors=511 chunks=44223
[2026-01-17T05:01:36.935Z] attempted=5000 connected=4493 active=3982 closed=511 aborted=0 errors=511 chunks=48712
[2026-01-17T05:02:06.936Z] attempted=5000 connected=4493 active=3982 closed=511 aborted=0 errors=511 chunks=53201
[2026-01-17T05:02:36.936Z] attempted=5000 connected=4493 active=3982 closed=511 aborted=0 errors=511 chunks=57688
[2026-01-17T05:03:06.938Z] attempted=5000 connected=4493 active=3982 closed=511 aborted=0 errors=511 chunks=62175
[2026-01-17T05:03:36.939Z] attempted=5000 connected=4493 active=3982 closed=511 aborted=0 errors=511 chunks=66656
[2026-01-17T05:04:06.941Z] attempted=5000 connected=4493 active=3982 closed=511 aborted=0 errors=511 chunks=71137
[2026-01-17T05:04:36.943Z] attempted=5000 connected=4493 active=3982 closed=511 aborted=0 errors=511 chunks=75609
[2026-01-17T05:05:06.942Z] attempted=5000 connected=4493 active=3982 closed=511 aborted=0 errors=511 chunks=80118
[2026-01-17T05:05:36.942Z] attempted=5000 connected=4493 active=3955 closed=538 aborted=0 errors=538 chunks=84583
[2026-01-17T05:06:06.941Z] attempted=5000 connected=4493 active=3951 closed=542 aborted=0 errors=542 chunks=89011
[2026-01-17T05:06:36.941Z] attempted=5000 connected=4493 active=3945 closed=548 aborted=0 errors=548 chunks=93416
[2026-01-17T05:07:06.942Z] attempted=5000 connected=4493 active=3878 closed=615 aborted=0 errors=615 chunks=97865
[2026-01-17T05:07:36.944Z] attempted=5000 connected=4493 active=3868 closed=625 aborted=0 errors=625 chunks=102220
[2026-01-17T05:08:06.944Z] attempted=5000 connected=4493 active=3868 closed=625 aborted=0 errors=625 chunks=106599
[2026-01-17T05:08:36.945Z] attempted=5000 connected=4493 active=3868 closed=625 aborted=0 errors=625 chunks=110929
[2026-01-17T05:09:06.945Z] attempted=5000 connected=4493 active=3864 closed=629 aborted=0 errors=629 chunks=115172
Closing connections...
[2026-01-17T05:09:18.616Z] attempted=5000 connected=4493 active=0 closed=5000 aborted=4371 errors=629 chunks=119303
